# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	117005
#@/user_id	659ce483-6874-4023-8d26-0ead44d09818
a 	啊	c=626 d=2.12741 t=116984
gong shi 	工時	c=2 d=6.59683e-110 t=116978
gong si 	公司	c=149 d=0.0399603 t=116978
gong si ji ti hu 	公司集體戶	c=1 d=1.11272e-80 t=116978
gong si li 	公司裏	c=1 d=3.84395e-47 t=116978
gong si suo zai di 	公司所在地	c=1 d=4.19567e-77 t=116978
gong tong 	共同	c=11 d=2.20452e-06 t=116978
gong wei 	工位	c=8 d=0.00047843 t=116978
gong wei 	工委	c=0 d=7.05723e-78 t=116978
gong wu 	公務	c=3 d=0.00151855 t=116978
gong wu yuan 	公務員	c=13 d=0.545308 t=116978
gong xi 	恭喜	c=1 d=3.06622e-64 t=116978
gong xian 	貢獻	c=20 d=5.89112e-11 t=116978
gong xiang 	共享	c=15 d=5.98009e-11 t=116978
gong xin bu 	工信部	c=1 d=1.36771e-125 t=116978
gong ye 	工業	c=16 d=0.422275 t=116978
gong ye shang 	工業上	c=1 d=3.42159e-60 t=116978
gong ye yun 	工業雲	c=1 d=0.744532 t=116978
gong yi 	公益	c=0 d=1.99467e-36 t=116978
gong yi 	共一	c=2 d=3.17452e-40 t=116978
gong yi ri 	公益日	c=1 d=2.00467e-35 t=116978
gong ying lian 	供應鏈	c=1 d=6.22844e-166 t=116978
gong yong 	共用	c=2 d=3.28408e-15 t=116978
gong you 	共有	c=2 d=5.7941e-51 t=116978
gong yuan 	公園	c=7 d=0.00054485 t=116978
gong zai 	公仔	c=1 d=1.88594e-52 t=116978
gong zhang 	公章	c=1 d=1.11674e-93 t=116978
gong zi 	工資	c=16 d=1.13647e-05 t=116978
gong zi ri 	工資日	c=1 d=9.18922e-65 t=116978
gong zuo 	工作	c=83 d=0.0792617 t=116978
gong zuo dan wei 	工作單位	c=1 d=9.23843e-69 t=116978
gong zuo fang xiang 	工作方向	c=1 d=2.44094e-28 t=116978
gong zuo gui hua 	工作規劃	c=1 d=2.42876e-28 t=116978
gong zuo le 	工作了	c=2 d=4.64829e-47 t=116978
gong zuo liang 	工作量	c=1 d=2.25634e-44 t=116978
gong zuo ri 	工作日	c=4 d=2.79812e-17 t=116978
gong zuo shang 	工作上	c=1 d=1.23436e-124 t=116978
gong zuo shi jian 	工作時間	c=1 d=6.91042e-65 t=116978
gong zuo xi bao 	工作細胞	c=1 d=1.08661e-36 t=116978
gou 	勾	c=6 d=2.65695e-55 t=116978
gou 	夠	c=22 d=0.216536 t=116978
gou 	狗	c=14 d=3.11054e-27 t=116978
gou bi 	狗幣	c=2 d=8.06574e-119 t=116978
gou cheng 	構成	c=3 d=1.54166e-63 t=116978
gou de hua 	夠的話	c=1 d=8.01512e-45 t=116978
gou gou 	勾勾	c=1 d=7.86342e-173 t=116978
gou gou 	狗狗	c=1 d=7.82737e-119 t=116978
gou hui 	購匯	c=3 d=2.95406e-110 t=116978
gou jia 	構架	c=1 d=6.77085e-119 t=116978
gou jian 	構建	c=24 d=1.05774e-06 t=116978
gou jian chu 	構建出	c=5 d=3.53108e-107 t=116978
gou jian le 	構建了	c=1 d=1.24808e-107 t=116978
gou jian le yi 	構建了一	c=1 d=1.13497e-107 t=116978
gou lan 	夠爛	c=1 d=0.941765 t=116978
gou le 	夠了	c=1 d=5.99314e-66 t=116978
gou mai 	購買	c=5 d=4.17785e-27 t=116978
gou mai ji lu 	購買記錄	c=1 d=1.61207e-59 t=116978
gou mai shi jian 	購買時間	c=1 d=1.65288e-59 t=116978
gou ou da 	夠毆打	c=1 d=0.000359786 t=116978
gou ou guan le 	夠歐冠了	c=1 d=1.22457e-148 t=116978
gou shang 	勾上	c=1 d=7.90283e-173 t=116978
gou si 	構思	c=1 d=1.8086e-31 t=116978
gou si gou si 	構思構思	c=1 d=1.81767e-30 t=116978
gou tong 	溝通	c=3 d=5.0959e-11 t=116978
gou tong yi xia 	溝通一下	c=1 d=2.52171e-58 t=116978
gou tou 	狗頭	c=1 d=6.82356e-122 t=116978
gou wu 	購物	c=3 d=1.54329e-46 t=116978
gou wu che 	購物車	c=1 d=1.40921e-65 t=116978
gou wu gong yuan 	購物公園	c=1 d=6.50246e-55 t=116978
gou xuan 	勾選	c=2 d=4.70331e-09 t=116978
gou yin 	勾引	c=1 d=0.00660585 t=116978
gou yin wo 	勾引我	c=1 d=1.33366e-05 t=116978
gou zao 	構造	c=0 d=7.39535e-11 t=116978
gou zao chu 	構造出	c=1 d=7.43242e-10 t=116978
gu 	古	c=2 d=1.18482e-54 t=116978
gu 	股	c=5 d=1.77496e-16 t=116978
gu 	谷	c=3 d=1.41849e-54 t=116978
gu 	顧	c=4 d=6.17501e-06 t=116978
gu dao 	鼓搗	c=0 d=2.54672e-175 t=116978
gu dao gu dao 	鼓搗鼓搗	c=1 d=2.55949e-174 t=116978
gu di 	谷底	c=0 d=6.22414e-12 t=116978
gu ding 	固定	c=16 d=1.20257e-18 t=116978
gu ding shu liang 	固定數量	c=1 d=1.5726e-179 t=116978
gu e 	姑惡	c=0 d=3.25672e-127 t=116978
gu fen 	股份	c=1 d=5.80656e-135 t=116978
gu ge 	谷歌	c=6 d=0.474734 t=116978
gu gong 	故宮	c=1 d=3.1842e-67 t=116978
gu hao 	顧好	c=1 d=1.0773e-23 t=116978
gu ji 	估計	c=92 d=0.0801804 t=116978
gu ji shi 	估計是	c=2 d=2.16609e-05 t=116978
gu jian 	固件	c=1 d=7.38505e-23 t=116978
gu li 	鼓勵	c=4 d=9.05675e-63 t=116978
gu li 	鼓裏	c=1 d=6.31821e-11 t=116978
gu nai nai 	姑奶奶	c=1 d=1.52431e-165 t=116978
gu niang 	姑娘	c=5 d=4.34368e-53 t=116978
gu piao 	股票	c=4 d=3.30176e-23 t=116978
gu piao gong wu yuan 	股票公務員	c=1 d=7.37327e-63 t=116978
gu qi 	骨氣	c=3 d=2.40154e-23 t=116978
gu quan 	股權	c=1 d=1.68439e-134 t=116978
gu shi 	故事	c=3 d=2.41205e-35 t=116978
gu wu 	鼓舞	c=1 d=8.61623e-131 t=116978
gu yi 	故意	c=2 d=1.7533e-47 t=116978
gu yong 	僱傭	c=0 d=8.79085e-74 t=116978
gu yong guan xi 	僱傭關係	c=1 d=8.83492e-73 t=116978
gu you 	固有	c=3 d=8.05828e-16 t=116978
gu zhang 	故障	c=3 d=1.40974e-40 t=116978
gu zhi 	估值	c=1 d=4.03982e-161 t=116978
gua 	掛	c=13 d=1.48945e-40 t=116978
gua 	瓜	c=1 d=8.61008e-152 t=116978
gua dao 	掛到	c=1 d=8.65472e-154 t=116978
gua gou 	掛鉤	c=1 d=0.0898153 t=116978
gua lai 	刮來	c=1 d=9.78802e-43 t=116978
gua pai 	掛牌	c=1 d=1.47689e-58 t=116978
gua zai 	掛載	c=12 d=4.19094e-05 t=116978
guai 	乖	c=1 d=1.45224e-154 t=116978
guai 	怪	c=5 d=5.43241e-28 t=116978
guai guai 	乖乖	c=1 d=0.00941925 t=116978
guai guai 	怪怪	c=2 d=0.0193193 t=116978
guai ni 	怪你	c=2 d=5.82432e-24 t=116978
guai shui 	怪誰	c=1 d=1.69179e-68 t=116978
guai wo 	怪我	c=2 d=4.20107e-55 t=116978
guan 	冠	c=5 d=7.90155e-44 t=116978
guan 	官	c=4 d=1.29446e-07 t=116978
guan 	管	c=15 d=2.92736 t=116978
guan 	觀	c=2 d=7.12619e-15 t=116978
guan 	關	c=17 d=3.83092e-07 t=116978
guan 	館	c=1 d=2.9433e-06 t=116978
guan bi 	關閉	c=17 d=0.451581 t=116978
guan cha 	觀察	c=3 d=2.05227e-17 t=116978
guan cha dao 	觀察到	c=1 d=9.87734e-91 t=116978
guan dao 	管道	c=2 d=2.86662e-58 t=116978
guan deng 	關燈	c=1 d=7.53808e-29 t=116978
guan di 	官邸	c=0 d=3.39007e-11 t=116978
guan di na 	官邸那	c=1 d=3.40706e-10 t=116978
guan dian 	觀點	c=3 d=3.42414e-10 t=116978
guan diao 	關掉	c=2 d=4.36615e-75 t=116978
guan fang 	官方	c=7 d=1.901e-28 t=116978
guan fang wang zhan 	官方網站	c=1 d=3.39805e-67 t=116978
guan hao 	管好	c=1 d=1.16825e-06 t=116978
guan hao 	關好	c=1 d=1.17411e-06 t=116978
guan hou gan 	觀後感	c=2 d=5.03629e-49 t=116978
guan huai 	關懷	c=1 d=1.13729e-131 t=116978
guan ji 	關機	c=10 d=0.0203744 t=116978
guan jian 	關鍵	c=7 d=0.0972957 t=116978
guan jian ci 	關鍵詞	c=1 d=4.40675e-125 t=116978
guan jian xing 	關鍵性	c=1 d=9.63768e-08 t=116978
guan kan 	觀看	c=3 d=1.44872e-08 t=116978
guan kong 	管控	c=2 d=6.763e-131 t=116978
guan li 	管理	c=13 d=0.222102 t=116978
guan li ceng 	管理層	c=1 d=1.28128e-63 t=116978
guan li fei 	管理費	c=3 d=6.59423e-50 t=116978
guan li qi 	管理器	c=2 d=0.00158052 t=116978
guan lian 	關聯	c=22 d=1.87563e-08 t=116978
guan lian cheng du 	關聯程度	c=1 d=7.08657e-67 t=116978
guan lian guan xi 	關聯關係	c=3 d=6.0246e-10 t=116978
guan mei 	官媒	c=1 d=2.57755e-51 t=116978
guan ni 	管你	c=1 d=1.41397e-134 t=116978
guan qi lai 	關起來	c=1 d=1.50421e-09 t=116978
guan shang 	觀賞	c=1 d=3.12444e-50 t=116978
guan shang 	關上	c=1 d=3.1401e-50 t=116978
guan shui 	灌水	c=1 d=4.01131e-19 t=116978
guan si 	官司	c=1 d=3.12657e-58 t=116978
guan ta 	管他	c=1 d=1.4131e-68 t=116978
guan ting 	關停	c=2 d=0.00543443 t=116978
guan wang 	官網	c=3 d=0.0376283 t=116978
guan wang 	觀望	c=5 d=2.162e-38 t=116978
guan wo 	管我	c=1 d=7.37106e-177 t=116978
guan xi 	關係	c=53 d=0.120636 t=116978
guan xi wang 	關係網	c=1 d=5.33045e-11 t=116978
guan xuan 	官宣	c=1 d=4.85071e-166 t=116978
guan ya 	關押	c=1 d=7.11701e-88 t=116978
guan yu 	關於	c=15 d=1.1889e-28 t=116978
guan yun 	冠雲	c=1 d=2.8527e-09 t=116978
guan zhao 	關照	c=1 d=5.83784e-110 t=116978
guan zhe xie 	管這些	c=1 d=1.83145e-60 t=116978
guan zhong 	觀衆	c=1 d=4.26806e-43 t=116978
guan zhu 	關注	c=44 d=0.191092 t=116978
guan zhu cheng du 	關注程度	c=1 d=1.04295e-171 t=116978
guan zhu dao 	關注到	c=2 d=5.58245e-25 t=116978
guan zhu du 	關注度	c=3 d=8.38716e-20 t=116978
guan zhu guan zhu 	關注關注	c=1 d=1.22183e-151 t=116978
guan zhu le 	關注了	c=1 d=7.78883e-61 t=116978
guan zhu yi xia 	關注一下	c=2 d=1.63524e-56 t=116978
guang 	光	c=17 d=0.0838297 t=116978
guang 	廣	c=6 d=2.867e-09 t=116978
guang 	逛	c=5 d=0.00152406 t=116978
guang chang 	廣場	c=0 d=5.29287e-17 t=116978
guang dian 	廣電	c=1 d=1.02403e-44 t=116978
guang dong 	廣東	c=41 d=0.278037 t=116978
guang dong ren 	廣東人	c=4 d=4.4047e-26 t=116978
guang dong sheng 	廣東省	c=29 d=6.03814e-07 t=116978
guang dong sheng kao 	廣東省考	c=2 d=2.54058e-175 t=116978
guang dong xuan diao 	廣東選調	c=1 d=3.81945e-60 t=116978
guang fa 	廣發	c=1 d=1.0262e-157 t=116978
guang fan 	廣泛	c=9 d=1.03901e-09 t=116978
guang gai 	逛該	c=6 d=0.00920424 t=116978
guang gao 	廣告	c=3 d=1.88722e-60 t=116978
guang gao pai 	廣告牌	c=1 d=7.0673e-35 t=116978
guang guang 	逛逛	c=3 d=5.96446e-39 t=116978
guang huan 	光環	c=2 d=1.2839e-87 t=116978
guang kuo 	廣闊	c=1 d=1.27771e-89 t=116978
guang mao 	光貓	c=4 d=1.04216e-74 t=116978
guang mao 	廣袤	c=2 d=1.71875e-125 t=116978
guang ming 	光明	c=1 d=3.49737e-53 t=116978
guang rong 	光榮	c=1 d=9.32908e-125 t=116978
guang shen 	廣深	c=0 d=1.51758e-114 t=116978
guang tou 	光頭	c=1 d=3.13489e-148 t=116978
guang xi 	廣西	c=7 d=3.39015e-142 t=116978
guang xue 	光學	c=1 d=1.56554e-38 t=116978
guang ying 	光影	c=1 d=1.32634e-123 t=116978
guang ying yan jiu shi 	光影研究室	c=1 d=1.01813e-123 t=116978
guang zhao 	光照	c=2 d=5.37012e-10 t=116978
guang zhou 	光軸	c=1 d=5.34954e-53 t=116978
guang zhou 	廣州	c=16 d=2.23348e-26 t=116978
guang zhui 	光追	c=1 d=1.22716e-114 t=116978
gui 	桂	c=1 d=3.47863e-78 t=116978
gui 	櫃	c=0 d=4.16551e-52 t=116978
gui 	歸	c=3 d=1.54518e-31 t=116978
gui 	貴	c=11 d=0.0017682 t=116978
gui 	軌	c=0 d=1.52741e-43 t=116978
gui 	鬼	c=14 d=0.0140519 t=116978
gui bi 	規避	c=2 d=2.00678e-18 t=116978
gui dang 	歸檔	c=3 d=2.37143e-61 t=116978
gui dao jiao tong 	軌道交通	c=1 d=1.05853e-169 t=116978
gui ding 	規定	c=8 d=2.88631e-29 t=116978
gui fan 	規範	c=2 d=7.07361e-16 t=116978
gui gu 	硅谷	c=1 d=2.70374e-172 t=116978
gui hua 	規劃	c=2 d=0.25284 t=116978
gui ji 	軌跡	c=3 d=1.58526e-104 t=116978
gui jiao 	硅膠	c=0 d=5.04863e-20 t=116978
gui jiao tao 	硅膠套	c=1 d=5.07394e-19 t=116978
gui lei 	歸類	c=4 d=4.21195e-05 t=116978
gui lin 	桂林	c=4 d=1.65134e-68 t=116978
gui lv 	規律	c=1 d=1.28679e-84 t=116978
gui mo 	規模	c=3 d=2.86575e-92 t=116978
gui na 	歸納	c=1 d=5.26362e-39 t=116978
gui yi hua 	归一化	c=7 d=3.52339e-52 t=116978
gui ze 	規則	c=3 d=5.94723e-05 t=116978
gui zhou 	貴州	c=1 d=9.82243e-143 t=116978
gui zi 	櫃子	c=9 d=5.5104e-78 t=116978
gui zi li 	洼子里	c=1 d=1.23815e-160 t=116978
gun 	滾	c=5 d=4.45111e-41 t=116978
gun dong 	滾動	c=1 d=1.14388e-52 t=116978
gun lun 	滾輪	c=1 d=1.10454e-52 t=116978
guo 	國	c=12 d=0.453845 t=116978
guo 	果	c=1 d=2.03739e-49 t=116978
guo 	過	c=86 d=0.400529 t=116978
guo 	郭	c=5 d=2.34319e-15 t=116978
guo 	鍋	c=8 d=3.21696e-11 t=116978
guo biao 	國標	c=1 d=8.90038e-101 t=116978
guo bu liao 	過不了	c=1 d=3.50761e-58 t=116978
guo bu qu 	過不去	c=1 d=1.61575e-27 t=116978
guo chan 	國產	c=0 d=3.61397e-175 t=116978
guo chan ruan jian 	國產軟件	c=1 d=3.63208e-174 t=116978
guo cheng 	過程	c=51 d=4.00981e-05 t=116978
guo cheng zhong 	過程中	c=22 d=4.38008e-07 t=116978
guo cheng zong 	過程總	c=1 d=1.03025e-174 t=116978
guo da 	過大	c=1 d=1.24863e-171 t=116978
guo de 	過得	c=1 d=3.44541e-24 t=116978
guo de gang 	郭德綱	c=2 d=3.26852e-62 t=116978
guo di 	過低	c=1 d=6.75063e-172 t=116978
guo du 	過度	c=2 d=5.17698e-79 t=116978
guo duan 	果斷	c=2 d=2.17008e-56 t=116978
guo duan 	過段	c=2 d=2.19189e-56 t=116978
guo duan shi jian 	過段時間	c=1 d=6.19396e-42 t=116978
guo fen 	過分	c=15 d=0.0573763 t=116978
guo hao 	過好	c=2 d=6.31459e-13 t=116978
guo hui 	國徽	c=1 d=6.55622e-93 t=116978
guo ji 	國籍	c=2 d=4.37323e-24 t=116978
guo ji 	國際	c=8 d=0.733447 t=116978
guo ji tian 	過幾天	c=3 d=8.53142e-65 t=116978
guo jia 	國家	c=16 d=4.36198e-05 t=116978
guo jia di li 	國家地理	c=1 d=3.37836e-175 t=116978
guo jia he 	國家和	c=1 d=5.23096e-54 t=116978
guo jia ji qi 	國家機器	c=1 d=1.19036e-50 t=116978
guo jing 	過境	c=1 d=8.14317e-55 t=116978
guo jun 	國軍	c=1 d=4.06613e-61 t=116978
guo kao 	國考	c=8 d=1.98122e-36 t=116978
guo la 	果拉	c=1 d=2.19742e-115 t=116978
guo lai 	過來	c=32 d=0.00128435 t=116978
guo lai le 	過來了	c=1 d=0.000231716 t=116978
guo le 	過了	c=4 d=1.41926e-31 t=116978
guo li 	國立	c=1 d=9.1124e-172 t=116978
guo liang tian 	過兩天	c=7 d=0.0136366 t=116978
guo lo ba le 	過咯罷了	c=2 d=8.33654e-37 t=116978
guo lv 	過濾	c=12 d=0.946485 t=116978
guo lv diao 	過濾掉	c=1 d=3.66793e-25 t=116978
guo mao 	國貿	c=1 d=2.09381e-135 t=116978
guo min 	國民	c=1 d=1.19861e-43 t=116978
guo min 	過敏	c=1 d=1.20461e-43 t=116978
guo min yuan 	過敏原	c=1 d=5.6472e-43 t=116978
guo nei 	國內	c=8 d=0.00225411 t=116978
guo nei de 	國內的	c=1 d=8.53457e-166 t=116978
guo ni 	過你	c=0 d=1.639e-49 t=116978
guo ni he 	過你和	c=2 d=1.64721e-48 t=116978
guo nian 	過年	c=3 d=2.59861e-29 t=116978
guo nian qian 	過年前	c=1 d=2.51359e-167 t=116978
guo qi 	國企	c=1 d=0.267135 t=116978
guo qi 	過期	c=1 d=0.900325 t=116978
guo qing 	國慶	c=4 d=2.38318e-11 t=116978
guo qing hou 	國慶後	c=1 d=1.34468e-43 t=116978
guo qu 	國區	c=3 d=3.33201e-05 t=116978
guo qu 	過去	c=16 d=0.000342672 t=116978
guo ran 	果然	c=7 d=0.0269169 t=116978
guo ri zi 	過日子	c=1 d=4.81176e-130 t=116978
guo sha 	過殺	c=4 d=1.84795e-09 t=116978
guo shang 	過上	c=1 d=6.62613e-12 t=116978
guo shi 	果實	c=1 d=1.92182e-156 t=116978
guo shi 	過時	c=1 d=1.94114e-156 t=116978
guo xiao 	國小	c=1 d=4.73336e-172 t=116978
guo xie 	裹挾	c=1 d=1.67981e-102 t=116978
guo yi bian 	過一遍	c=1 d=1.67999e-162 t=116978
guo yi tian 	過一天	c=1 d=1.88415e-129 t=116978
guo yi xia 	國一下	c=4 d=0.398519 t=116978
guo you 	國有	c=1 d=0.0271874 t=116978
guo yu 	過於	c=3 d=1.7844e-48 t=116978
guo zao 	過早	c=1 d=2.27538e-84 t=116978
guo zhi 	果汁	c=1 d=9.9461e-55 t=116978
ha 	哈	c=35 d=0.434084 t=116978
ha 	蛤	c=1 d=6.49719e-163 t=116978
ha gong da 	哈工大	c=1 d=2.9894e-89 t=116978
ha ha 	哈哈	c=35 d=0.0015592 t=116978
ha ha ha 	哈哈哈	c=213 d=0.114504 t=116978
ha ha ha ha 	哈哈哈哈	c=47 d=0.0224813 t=116978
ha ha ha ha ha 	哈哈哈哈哈	c=124 d=0.260765 t=116978
ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈	c=1 d=3.40778e-130 t=116978
ha ha ha ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈哈哈哈	c=1 d=0.00790705 t=116978
ha ha ha ha ha he 	哈哈哈哈哈和	c=4 d=4.61096e-11 t=116978
ha li bo te 	哈利波特	c=2 d=1.43787 t=116978
ha lou 	哈嘍	c=41 d=0.00360892 t=116978
ha lou ha lou 	哈嘍哈嘍	c=3 d=3.74625e-97 t=116978
hai 	嗨	c=4 d=7.48638e-05 t=116978
hai 	氦	c=1 d=3.19625e-82 t=116978
hai 	海	c=6 d=0.0578443 t=116978
hai 	還	c=209 d=0.604282 t=116978
hai an 	海岸	c=3 d=7.56594e-55 t=116978
hai an cheng 	海岸城	c=1 d=2.81561e-149 t=116978
hai ba 	海拔	c=1 d=3.04856e-143 t=116978
hai bao kuo 	還包括	c=1 d=1.00639e-163 t=116978
hai bin 	海濱	c=3 d=0.00162658 t=116978
hai bu cuo 	還不錯	c=2 d=0.00463092 t=116978
hai bu neng 	還不能	c=1 d=2.57624e-45 t=116978
hai bu ru 	還不如	c=3 d=9.60269e-58 t=116978
hai bu shi 	還不是	c=1 d=7.03182e-64 t=116978
hai bu xin 	還不信	c=1 d=1.03753e-51 t=116978
hai bu xing 	還不行	c=2 d=0.0695994 t=116978
hai cha 	還差	c=2 d=5.42854e-49 t=116978
hai dao chuan 	海盜船	c=2 d=1.8355e-86 t=116978
hai dei 	還得	c=11 d=1.03025e-27 t=116978
hai di 	海底	c=0 d=8.27381e-08 t=116978
hai di lao 	海底撈	c=4 d=8.31529e-07 t=116978
hai di lun 	海底輪	c=1 d=5.21746e-53 t=116978
hai dian 	海淀	c=2 d=1.70438e-67 t=116978
hai duo 	還多	c=1 d=7.5798e-182 t=116978
hai gen 	還跟	c=0 d=4.42926e-39 t=116978
hai gen wo 	還跟我	c=1 d=4.45147e-38 t=116978
hai hao 	還好	c=10 d=0.00360656 t=116978
hai hao ba 	還好吧	c=1 d=5.5707e-59 t=116978
hai hao hai hao 	還好還好	c=1 d=8.55749e-80 t=116978
hai hen 	還很	c=1 d=1.50852e-72 t=116978
hai hui 	還會	c=12 d=4.44314e-16 t=116978
hai hui si 	海会寺	c=1 d=6.95808e-87 t=116978
hai ke neng 	還可能	c=2 d=1.77177e-82 t=116978
hai ke yi 	還可以	c=23 d=0.00267257 t=116978
hai ke yi shuo 	還可以說	c=1 d=4.58157e-24 t=116978
hai kou 	海口	c=1 d=2.10574e-143 t=116978
hai liang 	海量	c=3 d=1.21163e-137 t=116978
hai mei 	還沒	c=28 d=0.0645703 t=116978
hai mei chu 	還沒出	c=2 d=0.00069264 t=116978
hai mei chu lai 	還沒出來	c=1 d=9.87334e-145 t=116978
hai mei huan 	還沒還	c=1 d=3.13542e-150 t=116978
hai mei mai 	還沒買	c=2 d=4.37299e-64 t=116978
hai mei shang 	還沒上	c=1 d=2.90717e-55 t=116978
hai mei you 	還沒有	c=23 d=0.427415 t=116978
hai mei zuo 	還沒做	c=1 d=1.96364e-27 t=116978
hai nen han guo 	還嫩韓國	c=1 d=1.15498e-48 t=116978
hai neng 	還能	c=25 d=0.0319048 t=116978
hai neng gou 	還能夠	c=1 d=7.21275e-10 t=116978
hai neng shi 	還能是	c=1 d=1.68789e-129 t=116978
hai neng shuo 	還能說	c=1 d=6.09013e-49 t=116978
hai ou 	海鷗	c=1 d=1.85155e-12 t=116978
hai pa 	害怕	c=3 d=5.76048e-12 t=116978
hai qu 	還去	c=1 d=3.19387e-132 t=116978
hai rang wo 	還讓我	c=2 d=0.000199439 t=116978
hai shang 	海上	c=1 d=0.000582709 t=116978
hai shang shi jie 	海上世界	c=1 d=0.000515692 t=116978
hai sheng 	還剩	c=1 d=2.33402e-148 t=116978
hai shi 	還是	c=421 d=1.61183 t=116978
hai shi sha 	還是啥	c=1 d=3.19156e-06 t=116978
hai shi shuo 	還是說	c=10 d=0.00269866 t=116978
hai shi yao 	還是要	c=1 d=1.41465e-169 t=116978
hai shi ying gai 	還是應該	c=1 d=1.57244e-119 t=116978
hai shuo 	還說	c=4 d=1.1063e-12 t=116978
hai ting 	還挺	c=0 d=3.08746e-58 t=116978
hai ting you 	還挺有	c=1 d=3.10294e-57 t=116978
hai tuo yan 	還拖延	c=1 d=9.43981e-58 t=116978
hai wai 	海外	c=2 d=5.81858e-54 t=116978
hai wai qing kuang 	海外情況	c=1 d=7.2037e-54 t=116978
hai wen le 	還問了	c=1 d=5.20382e-81 t=116978
hai xiang 	還想	c=4 d=1.04004e-50 t=116978
hai xiang zhe 	還想着	c=1 d=1.78071e-53 t=116978
hai xing 	還行	c=9 d=0.000433948 t=116978
hai xing bu xing 	還行不行	c=1 d=2.38108e-30 t=116978
hai xu yao 	還需要	c=9 d=0.474734 t=116978
hai yao 	還要	c=34 d=0.1457 t=116978
hai yong 	還用	c=0 d=1.82641e-58 t=116978
hai you 	還有	c=94 d=0.0202829 t=116978
hai you ge 	還有個	c=1 d=8.89584e-95 t=116978
hai you ke neng 	還有可能	c=1 d=6.58054e-19 t=116978
hai you ne 	還有呢	c=1 d=1.02473e-52 t=116978
hai you ren 	還有人	c=1 d=3.10898e-168 t=116978
hai you shuo 	還有說	c=1 d=1.89545e-23 t=116978
hai you yi dian 	還有一點	c=1 d=1.59581e-28 t=116978
hai you yi ge 	還有一個	c=1 d=1.73709e-26 t=116978
hai you yi xie 	還有一些	c=1 d=1.96497e-35 t=116978
hai zai 	還在	c=23 d=0.0248475 t=116978
hai zhe me duo 	還這麼多	c=1 d=2.74507e-174 t=116978
hai zi 	孩子	c=8 d=1.5925e-33 t=116978
hai zi qi 	孩子氣	c=0 d=3.44119e-40 t=116978
hai zuo le 	還做了	c=1 d=1.72046e-148 t=116978
han 	函	c=0 d=2.07883e-81 t=116978
han 	含	c=2 d=3.65736e-138 t=116978
han 	喊	c=1 d=3.22957e-57 t=116978
han gao zu 	漢高祖	c=1 d=4.68273e-75 t=116978
han guo 	韓國	c=4 d=2.62613e-06 t=116978
han ha 	汗哈	c=1 d=3.50477e-166 t=116978
han hua 	漢化	c=1 d=3.52234e-166 t=116978
han jia 	寒假	c=6 d=3.40365e-27 t=116978
han jian 	罕見	c=1 d=1.53585e-48 t=116978
han ming 	漢明	c=11 d=4.48465e-06 t=116978
han ming ju li 	漢明距離	c=2 d=3.54106e-52 t=116978
han ming kong jian zhong 	漢明空間中	c=1 d=7.34453e-164 t=116978
han ni 	喊你	c=1 d=1.8266e-117 t=116978
han shu 	函數	c=85 d=8.27727e-05 t=116978
han shu jia 	寒暑假	c=1 d=1.56252e-74 t=116978
han wo 	喊我	c=1 d=2.49672e-176 t=116978
han xin 	漢芯	c=1 d=3.71201e-136 t=116978
han you 	含有	c=9 d=5.08907e-08 t=116978
han zu 	漢族	c=3 d=7.2652e-07 t=116978
hang 	航	c=1 d=2.57484e-68 t=116978
hang 	行	c=10 d=0.0216013 t=116978
hang ban 	航班	c=1 d=2.591e-24 t=116978
hang ban hao 	航班號	c=1 d=9.33354e-160 t=116978
hang hu 	行戶	c=1 d=3.95617e-62 t=116978
hang jia 	行家	c=1 d=8.06816e-05 t=116978
hang jian ju 	行间距	c=2 d=3.54117e-23 t=116978
hang lv 	航旅	c=1 d=3.56938e-175 t=116978
hang qing 	行情	c=3 d=1.00969e-114 t=116978
hang shu 	行數	c=1 d=8.36266e-15 t=116978
hang ye 	行業	c=1 d=2.68886e-19 t=116978
hang zhou 	杭州	c=2 d=1.34605e-47 t=116978
hao 	好	c=472 d=1.13352 t=116978
hao 	昊	c=1 d=1.02007e-116 t=116978
hao 	浩	c=2 d=1.39168e-06 t=116978
hao 	號	c=129 d=0.0780431 t=116978
hao 	豪	c=9 d=5.14234e-11 t=116978
hao ba 	好吧	c=101 d=0.0407736 t=116978
hao bang 	好棒	c=6 d=2.94618e-06 t=116978
hao bao 	好報	c=1 d=7.25261e-16 t=116978
hao bu guo 	好不過	c=1 d=1.42779e-72 t=116978
hao bu hao 	好不好	c=14 d=6.08308e-06 t=116978
hao bu hao kan 	好不好看	c=2 d=1.55853e-44 t=116978
hao bu rong yi 	好不容易	c=2 d=1.28968e-81 t=116978
hao can 	好慘	c=1 d=2.15002e-35 t=116978
hao che 	好扯	c=1 d=1.46788e-133 t=116978
hao chi 	好吃	c=7 d=1.29601e-05 t=116978
hao chi de 	好喫的	c=1 d=1.71037e-167 t=116978
hao chou 	好醜	c=1 d=5.71191e-30 t=116978
hao chu 	好處	c=2 d=1.98466e-64 t=116978
hao da 	好大	c=2 d=1.10823e-150 t=116978
hao dai 	好歹	c=2 d=1.58074e-34 t=116978
hao de 	好的	c=142 d=0.694197 t=116978
